Fecha,Partido,Seleccion,Probabilidad,Total_Estimado,Resultado,Total_Real,Resultado_Total
2026-06-15,COL @ CHC,CHC,61.0,9.0,CORRECTO,9.0,EXACTO  =
2026-06-15,MIN @ TEX,TEX,58.3,8.8,INCORRECTO,6.0,UNDER   ▼
2026-06-15,TBR @ LAD,LAD,56.1,9.1,CORRECTO,7.0,UNDER   ▼
2026-06-15,NYM @ CIN,NYM,53.3,8.7,INCORRECTO,12.0,OVER    ▲
2026-06-15,LAA @ ARI,ARI,53.0,8.8,CORRECTO,7.0,UNDER   ▼
2026-06-15,SDP @ STL,STL,52.7,8.6,CORRECTO,3.0,UNDER   ▼
2026-06-15,KCR @ WSN,WSN,52.4,9.1,CORRECTO,10.0,OVER    ▲
2026-06-15,MIA @ PHI,PHI,51.5,8.7,CORRECTO,7.0,UNDER   ▼
2026-06-15,DET @ HOU,DET,50.1,8.8,CORRECTO,12.0,OVER    ▲
2026-06-16,COL @ CHC,CHC,61.0,9.0,,,
2026-06-16,BAL @ SEA,SEA,59.6,8.7,,,
2026-06-16,SFG @ ATL,ATL,58.5,8.9,,,
2026-06-16,MIN @ TEX,TEX,58.3,8.8,,,
2026-06-16,TBR @ LAD,LAD,56.1,9.1,,,
2026-06-16,CLE @ MIL,MIL,56.0,8.9,,,
2026-06-16,CHW @ NYY,NYY,54.1,8.7,,,
2026-06-16,PIT @ ATH,PIT,53.4,9.7,,,
2026-06-16,NYM @ CIN,NYM,53.3,8.7,,,
2026-06-16,LAA @ ARI,ARI,53.0,8.8,,,
2026-06-16,SDP @ STL,STL,52.7,8.6,,,
2026-06-16,KCR @ WSN,WSN,52.4,9.1,,,
2026-06-16,MIA @ PHI,PHI,51.5,8.7,,,
2026-06-16,TOR @ BOS,BOS,51.4,8.5,,,
2026-06-16,DET @ HOU,DET,50.1,8.8,,,
