Fecha,Partido,Seleccion,Probabilidad,Total_Estimado,Resultado,Total_Real,Resultado_Total
2026-06-15,COL @ CHC,CHC,61.0,9.0,CORRECTO,9.0,EXACTO  =
2026-06-15,MIN @ TEX,TEX,58.3,8.8,INCORRECTO,6.0,UNDER   ▼
2026-06-15,TBR @ LAD,LAD,56.1,9.1,CORRECTO,7.0,UNDER   ▼
2026-06-15,NYM @ CIN,NYM,53.3,8.7,INCORRECTO,12.0,OVER    ▲
2026-06-15,LAA @ ARI,ARI,53.0,8.8,CORRECTO,7.0,UNDER   ▼
2026-06-16,COL @ CHC,CHC,61.0,9.0,INCORRECTO,7.0,UNDER   ▼
2026-06-16,BAL @ SEA,SEA,59.6,8.7,CORRECTO,4.0,UNDER   ▼
2026-06-16,SFG @ ATL,ATL,58.5,8.9,INCORRECTO,9.0,EXACTO  =
2026-06-16,MIN @ TEX,TEX,58.3,8.8,INCORRECTO,14.0,OVER    ▲
2026-06-16,TBR @ LAD,LAD,56.1,9.1,CORRECTO,1.0,UNDER   ▼
2026-06-17,COL @ CHC,CHC,58.9,9.1,CORRECTO,14.0,OVER    ▲
2026-06-17,SDP @ STL,STL,55.4,8.8,INCORRECTO,7.0,UNDER   ▼
2026-06-17,SFG @ ATL,ATL,55.0,8.7,INCORRECTO,12.0,OVER    ▲
2026-06-17,CLE @ MIL,MIL,53.7,8.9,CORRECTO,13.0,OVER    ▲
2026-06-17,CHW @ NYY,NYY,53.6,8.7,CORRECTO,15.0,OVER    ▲
2026-06-18,SFG @ ATL,ATL,55.7,8.7,,,
2026-06-18,CLE @ MIL,MIL,55.4,8.8,,,
2026-06-18,CHW @ NYY,NYY,55.0,9.2,,,
2026-06-18,STL @ KCR,STL,54.9,9.0,,,
2026-06-18,NYM @ PHI,PHI,52.4,8.7,,,
